time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-05-11T03:30:56.200Z,35.686,-118.42,5.55,1.12,ml,14,143,0.04972,0.14,ci,ci40255960,2022-05-11T03:34:23.607Z,"4km SE of Wofford Heights, CA",earthquake,0.38,0.49,0.211,16,automatic,ci,ci
2022-05-11T03:29:48.740Z,17.9855,-67.993,36.7,3.12,md,16,212,,0.37,pr,pr71348363,2022-05-11T04:22:24.450Z,"78 km SE of Boca de Yuma, Dominican Republic",earthquake,2.09,5.98,0.0376006439777408,11,reviewed,pr,pr
2022-05-11T03:29:39.410Z,19.2288341522217,-155.397827148438,29.2800006866455,2.21,ml,35,143,,0.109999999,hv,hv73008947,2022-05-11T03:35:10.450Z,"8 km ENE of Pāhala, Hawaii",earthquake,0.7,0.920000017,0.38,3,automatic,hv,hv
2022-05-11T03:20:44.900Z,19.2035007476807,-155.434005737305,32.6399993896484,2.24000001,md,26,142,,0.119999997,hv,hv73008922,2022-05-11T03:23:56.980Z,"4 km E of Pāhala, Hawaii",earthquake,0.7,0.949999988,2.3900001,4,automatic,hv,hv
2022-05-11T02:53:52.277Z,39.1896,-119.6353,1.8,0.7,ml,9,144.35,0.104,0.0435,nn,nn00838702,2022-05-11T02:56:48.093Z,"6 km SW of Dayton, Nevada",earthquake,,4.2,0.09,7,automatic,nn,nn
2022-05-11T02:52:54.995Z,39.1906,-119.6328,3,0.9,ml,10,145.69,0.105,0.054,nn,nn00838699,2022-05-11T02:55:48.672Z,"6 km SSW of Dayton, Nevada",earthquake,,0.9,0.18,9,automatic,nn,nn
2022-05-11T02:43:39.179Z,60.0436,-153.0327,107.9,2.2,ml,,,,0.46,ak,ak02260oump7,2022-05-11T02:53:41.258Z,"66 km ENE of Pedro Bay, Alaska",earthquake,,0.5,,,automatic,ak,ak
2022-05-11T02:39:43.060Z,38.7893333,-122.7378311,1.83,0.7,md,10,115,0.006148,0.01,nc,nc73732001,2022-05-11T02:57:17.292Z,"2km NE of The Geysers, CA",earthquake,0.33,0.67,0.16,2,automatic,nc,nc
2022-05-11T02:29:00.447Z,36.6211,70.99,220.65,4,mb,,96,0.603,0.84,us,us7000h8i5,2022-05-11T05:24:29.040Z,"30 km SSE of Jurm, Afghanistan",earthquake,7.7,6.4,0.139,14,reviewed,us,us
2022-05-11T02:23:03.910Z,35.65,-117.4868333,14.03,1.33,ml,14,180,0.06646,0.22,ci,ci40255944,2022-05-11T02:26:42.968Z,"15km SSW of Searles Valley, CA",earthquake,0.63,1.01,0.223,17,automatic,ci,ci
2022-05-11T02:22:28.927Z,62.1446,-150.2141,55.1,1.4,ml,,,,0.52,ak,ak02260oq3vx,2022-05-11T02:25:32.851Z,"19 km W of Susitna North, Alaska",earthquake,,1.1,,,automatic,ak,ak
2022-05-11T02:17:18.777Z,38.1235,-118.1083,4.4,0.7,ml,8,207.03,0.118,0.0811,nn,nn00838698,2022-05-11T02:37:38.702Z,"29 km S of Mina, Nevada",earthquake,,18,0.29,4,automatic,nn,nn
2022-05-11T02:14:47.510Z,19.1445007324219,-155.470504760742,32.5,2.02999997,md,35,170,,0.180000007,hv,hv73008867,2022-05-11T02:18:00.340Z,"6 km S of Pāhala, Hawaii",earthquake,0.63,1,1.20000005,14,automatic,hv,hv
2022-05-11T02:06:44.017Z,31.6299,-104.3823,5,2.5,mb_lg,,63,0.108,0.56,us,us7000h8hr,2022-05-11T02:18:27.040Z,"60 km S of Whites City, New Mexico",earthquake,1,1.9,0.136,22,reviewed,us,us
2022-05-11T01:56:40.124Z,62.517,-150.8798,62.6,1.6,ml,,,,0.66,ak,ak02260obzhe,2022-05-11T02:04:18.220Z,"6 km WNW of Petersville, Alaska",earthquake,,1.1,,,automatic,ak,ak
2022-05-11T01:47:35.931Z,63.766,-149.5458,121.5,1.6,ml,,,,0.29,ak,ak02260oa1px,2022-05-11T02:03:51.131Z,"30 km WSW of Healy, Alaska",earthquake,,0.9,,,automatic,ak,ak
2022-05-11T01:39:18.718Z,4.8362,123.1783,593.16,4.4,mb,,146,5.813,0.56,us,us7000h8i0,2022-05-11T05:17:42.040Z,"188 km SW of Palimbang, Philippines",earthquake,13.7,10.6,0.088,37,reviewed,us,us
2022-05-11T01:34:52.632Z,39.1633,-118.0604,5.7,1.9,ml,9,208.29,0.933,0.1437,nn,nn00838695,2022-05-11T01:38:37.710Z,"34 km NNW of Gabbs, Nevada",earthquake,,1.7,0.24,8,automatic,nn,nn
2022-05-11T01:15:57.165Z,-30.582,-179.7393,407.94,4.6,mb,,122,2.055,0.93,us,us7000h8hj,2022-05-11T01:32:52.040Z,"Kermadec Islands region",earthquake,13.3,8.7,0.087,40,reviewed,us,us
2022-05-11T01:15:23.140Z,38.7919998,-122.8068314,3.47,0.49,md,13,94,0.004701,0.03,nc,nc73731971,2022-05-11T01:43:15.908Z,"5km WNW of The Geysers, CA",earthquake,0.37,0.79,0.35,2,automatic,nc,nc
2022-05-11T01:13:43.010Z,38.8353348,-122.8118362,1.63,0.36,md,8,164,0.012,0.01,nc,nc73731966,2022-05-11T01:31:17.833Z,"8km W of Cobb, CA",earthquake,0.66,1.49,,1,automatic,nc,nc
2022-05-11T01:12:04.710Z,19.1718330383301,-155.482833862305,32.6100006103516,1.85000002,md,27,139,,0.150000006,hv,hv73008847,2022-05-11T01:15:13.760Z,"3 km S of Pāhala, Hawaii",earthquake,0.97,1.01999998,,9,automatic,hv,hv
2022-05-11T00:47:55.631Z,61.9118,-150.268,8.3,1.2,ml,,,,0.89,ak,ak02260nonmz,2022-05-11T01:21:22.239Z,"21 km NNW of Willow, Alaska",earthquake,,0.3,,,automatic,ak,ak
2022-05-11T00:29:25.180Z,35.0458333,-118.9595,11.47,1.82,ml,40,41,0.1245,0.29,ci,ci40255920,2022-05-11T00:40:42.560Z,"12km NNW of Grapevine, CA",earthquake,0.41,1.51,0.152,31,automatic,ci,ci
2022-05-11T00:26:34.860Z,33.6713333,-116.9215,16.49,0.7,ml,20,73,0.01582,0.22,ci,ci40255912,2022-05-11T00:30:13.430Z,"9km SSW of Valle Vista, CA",earthquake,0.54,0.44,0.158,12,automatic,ci,ci
2022-05-11T00:17:08.360Z,38.8339996,-122.8075027,2.08,0.85,md,16,58,0.01078,0.01,nc,nc73731951,2022-05-11T00:58:16.631Z,"7km W of Cobb, CA",earthquake,0.24,0.51,0.03,3,automatic,nc,nc
2022-05-11T00:09:57.330Z,18.8811666666667,-155.19,11.63,2.52,ml,47,259,,0.19,hv,hv73008762,2022-05-11T01:29:14.570Z,"45 km ESE of Naalehu, Hawaii",earthquake,0.69,0.83,0.159063863444602,12,reviewed,hv,hv
2022-05-11T00:06:44.940Z,35.6471667,-117.4283333,2.67,1.82,ml,24,75,0.06653,0.2,ci,ci40255896,2022-05-11T00:17:31.700Z,"14km S of Searles Valley, CA",earthquake,0.46,0.66,0.097,27,automatic,ci,ci
2022-05-10T23:54:35.270Z,34.306,-119.7186667,0.74,1.88,ml,16,224,0.1345,0.24,ci,ci40255888,2022-05-10T23:58:26.052Z,"13km S of Santa Barbara, CA",earthquake,1.17,31.61,0.11,28,automatic,ci,ci
2022-05-10T23:50:00.160Z,33.6738333,-116.7928333,14.22,1.11,ml,38,54,0.06335,0.19,ci,ci40255880,2022-05-10T23:59:13.750Z,"10km SW of Idyllwild, CA",earthquake,0.28,0.45,0.34,26,automatic,ci,ci
2022-05-10T23:42:13.705Z,62.5904,-151.0231,71,1.7,ml,,,,0.49,ak,ak0225zdt48o,2022-05-10T23:49:26.887Z,"16 km NW of Petersville, Alaska",earthquake,,0.6,,,automatic,ak,ak
2022-05-10T23:41:04.380Z,52.4267,-168.5786,31.9,4.1,mb,,190,0.571,0.93,us,us7000h8h5,2022-05-11T00:20:10.040Z,"60 km SSE of Nikolski, Alaska",earthquake,11.2,9.5,0.067,60,reviewed,us,us
2022-05-10T23:38:44.989Z,38.275,-118.7182,13.5,0.7,ml,7,323.68,0.169,0.0433,nn,nn00838694,2022-05-11T02:39:21.924Z,"28 km SSW of Hawthorne, Nevada",earthquake,,19.7,0,1,reviewed,nn,nn
2022-05-10T23:32:01.380Z,38.8336678,-122.8028336,1.74,1.32,md,21,53,0.01084,0.01,nc,nc73731926,2022-05-11T03:43:14.602Z,"7km W of Cobb, CA",earthquake,0.21,0.39,0.11,4,automatic,nc,nc
2022-05-10T23:31:02.510Z,38.8334999,-122.8040009,1.52,1.15,md,25,52,0.01115,0.05,nc,nc73731921,2022-05-11T03:16:15.412Z,"7km W of Cobb, CA",earthquake,0.2,0.36,0.05,5,automatic,nc,nc
2022-05-10T23:18:50.671Z,-55.4239,-28.1486,39.36,5.4,mb,,55,4.952,0.65,us,us7000h8g7,2022-05-11T01:22:22.867Z,"South Sandwich Islands region",earthquake,10.7,7.4,0.068,73,reviewed,us,us
2022-05-10T23:09:18.838Z,61.7686,-153.7075,0,1.3,ml,,,,0.6,ak,ak0225zdm20b,2022-05-10T23:32:09.965Z,"102 km ENE of Lime Village, Alaska",earthquake,,0.5,,,automatic,ak,ak
2022-05-10T23:06:29.129Z,-23.6141,-66.7236,193.81,6.8,mww,,26,1.491,1.09,us,us7000h8g3,2022-05-11T05:49:08.930Z,"78 km NNW of San Antonio de los Cobres, Argentina",earthquake,6.3,4.2,0.062,25,reviewed,us,us
2022-05-10T23:04:51.141Z,63.1532,-151.323,0,1.6,ml,,,,1.03,ak,ak0225zdl1x7,2022-05-10T23:21:20.701Z,"47 km SSE of Denali National Park, Alaska",earthquake,,0.4,,,automatic,ak,ak
2022-05-10T23:02:29.617Z,64.9248,-147.3163,1.2,1.2,ml,,,,0.91,ak,ak0225zdkktt,2022-05-10T23:46:26.119Z,"14 km WNW of Two Rivers, Alaska",explosion,,5.4,,,automatic,ak,ak
2022-05-10T22:49:33.595Z,39.5888,-116.7624,0,2.7,ml,6,179.76,0.822,0.1372,nn,nn00838659,2022-05-11T02:39:19.500Z,"28 km ENE of Austin, Nevada",earthquake,,0,0,1,reviewed,nn,nn
2022-05-10T22:22:21.100Z,37.8349991,-122.6158371,6.66,1.36,md,9,208,0.08988,0.02,nc,nc73731901,2022-05-11T02:50:16.252Z,"4km SW of Muir Beach, CA",earthquake,1.64,1.3,0.24,6,automatic,nc,nc
2022-05-10T22:19:59.060Z,51.8738333333333,-176.607,0.63,2.8,ml,15,192,,0.2,av,av91557506,2022-05-11T01:56:00.383Z,"1 km E of Adak, Alaska",earthquake,0.64,1.2,0.196799452231934,16,reviewed,av,av
2022-05-10T22:19:13.130Z,38.7886658,-122.7478333,1.61,0.91,md,13,85,0.01024,0.02,nc,nc73731891,2022-05-10T22:29:11.896Z,"2km NNE of The Geysers, CA",earthquake,0.28,0.52,0.25,4,automatic,nc,nc
2022-05-10T22:10:59.780Z,33.2951667,-116.7545,16.99,0.93,ml,33,41,0.05914,0.14,ci,ci40255848,2022-05-10T23:43:57.591Z,"6km N of Lake Henshaw, CA",earthquake,0.22,0.6,0.12,19,reviewed,ci,ci
2022-05-10T22:10:40.040Z,17.8751666666667,-67.1643333333333,4.47,1.59,md,4,312,,0.14,pr,pr71348343,2022-05-10T22:37:46.040Z,"11 km SSE of Pole Ojea, Puerto Rico",earthquake,1.3,8.34,0.0967006592708115,3,reviewed,pr,pr
2022-05-10T22:09:19.329Z,-48.3365,165.6618,10,4.5,mb,,127,2.279,1.07,us,us7000h8fx,2022-05-10T22:44:22.040Z,"278 km SW of Bluff, New Zealand",earthquake,5.9,1.9,0.163,12,reviewed,us,us
2022-05-10T21:35:43.800Z,38.8348351,-122.8183365,1.51,0.85,md,13,71,0.01312,0.01,nc,nc73731876,2022-05-10T21:47:11.494Z,"8km NW of The Geysers, CA",earthquake,0.27,0.76,,1,automatic,nc,nc
